Product Name,Price,Rating,Reviews,Image,Product_URL
"Amazon Basics Paint Brush Set, Nylon Paint Brushes for Acrylic, Oil, Watercolor, 10 Brush Sizes",$4,4.6,"2,027",https://m.media-amazon.com/images/I/814FaGKi7NS._AC_UL320_.jpg,https://www.amazon.com/Amazon-Basics-Brushes-Acrylic-Watercolor/dp/B0893731DR/ref=sr_1_19?qid=1651611676&s=arts-crafts-intl-ship&sr=1-19
"Paper Mate Pink Pearl Erasers, Large, 3 Count",$1,4.8,"7,178",https://m.media-amazon.com/images/I/815kVAi4jxL._AC_UL320_.jpg,https://www.amazon.com/Paper-Mate-Pearl-Erasers-70501/dp/B00006IFAQ/ref=sr_1_20?qid=1651611676&s=arts-crafts-intl-ship&sr=1-20
"Apple Barrel Acrylic Paint in Assorted Colors (2 oz), 20513, Bright Yellow",$0,4.7,"17,731",https://m.media-amazon.com/images/I/71JR-ROr35L._AC_UL320_.jpg,https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-Colors/dp/B005U7BNPE/ref=sr_1_21?qid=1651611676&s=arts-crafts-intl-ship&sr=1-21
"Dual Brush Marker Pens for Coloring,24 Colored Markers,Fine Point and Brush Tip Art Markers for Kids Adult Coloring Books Bullet Journals Planners,Note Taking Coloring Writing",$11,4.6,"3,793",https://m.media-amazon.com/images/I/81bs7DKzsHL._AC_UL320_.jpg,https://www.amazon.com/Coloring-Colored-Markers-Journals-Planners/dp/B089QJ9L77/ref=sr_1_22?qid=1651611676&s=arts-crafts-intl-ship&sr=1-22
"Artlicious Canvases for Painting - Pack of 12,8 x 10Inch Blank White Canvas Boards - 100% Cotton Art Panels for Oil, Acrylic & Watercolor Paint",$13,4.7,"42,052",https://m.media-amazon.com/images/I/61T+FLqCEEL._AC_UL320_.jpg,https://www.amazon.com/Artlicious-Canvases-Painting-10-Inch-Watercolor/dp/B01FCHZOII/ref=sr_1_23?qid=1651611676&s=arts-crafts-intl-ship&sr=1-23
Prismacolor Premier Pencil Sharpener,$6,4.7,"25,440",https://m.media-amazon.com/images/I/81lPuQqksOL._AC_UL320_.jpg,https://www.amazon.com/Prismacolor-VE99016-Premier-Pencil-Sharpener/dp/B004ZDL0K2/ref=sr_1_24?qid=1651611676&s=arts-crafts-intl-ship&sr=1-24
"Quartet Easel Stand, Collapsible, Portable Display Stand for Home School Supplies, Home Office Supply Tripod for Posters, Paintings, Art or White Boards, Base 63"" Max. Height, Supports 5 lbs. (29E)",$14,4.3,"4,886",https://m.media-amazon.com/images/I/61bAmwEcjRL._AC_UL320_.jpg,https://www.amazon.com/Quartet-Instant-Portable-Supports-29E/dp/B00006IAT6/ref=sr_1_25?qid=1651611676&s=arts-crafts-intl-ship&sr=1-25
"Crayola Super Tips Marker Set, Washable Markers, Assorted Colors, Art Set for Kids, 100 Count",$15,4.8,"28,435",https://m.media-amazon.com/images/I/714-A67i+PL._AC_UL320_.jpg,https://www.amazon.com/Crayola-Super-Washable-Markers-Count/dp/B071CP6X88/ref=sr_1_26?qid=1651611676&s=arts-crafts-intl-ship&sr=1-26
"Sakura Pigma 30067 Micron Blister Card Ink Pen Set, Black, 8/Set",$14,4.8,"19,141",https://m.media-amazon.com/images/I/812hAfp0UUL._AC_UL320_.jpg,https://www.amazon.com/Sakura-Pigma-30067-Micron-Blister/dp/B004QHI43S/ref=sr_1_27?qid=1651611676&s=arts-crafts-intl-ship&sr=1-27
"HomeMall Drawing Sketching Pencils Set, 37 Packs Art Kit with Sketchbook Draw Pencils Dual Ended Color Pencil Eraser Sharpener Pencil Bag for Kids Adults and Art Beginners…",$14,4.7,391,https://m.media-amazon.com/images/I/81meSMcQsOL._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A094014026Z2F32AYCHOE&url=%2FHomeMall-Sketching-Sketchbook-Sharpener-Beginners%2Fdp%2FB08R8663W4%2Fref%3Dice_ac_b_dpb_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-28-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
"KIDDYCOLOR 150 Pieces Kids Deluxe Artist Drawing & Painting Set, Portable Wooden Case with Oil Pastels, Crayons, Colored Pencils, Markers, Gift for Kids Teens",$21,4.6,153,https://m.media-amazon.com/images/I/81s1GQBEAPL._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A04187528J9FGIHBOANX&url=%2FKIDDYCOLOR-Deluxe-Drawing-Painting-Portable%2Fdp%2FB07X92K2NP%2Fref%3Dsr_1_29_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-29-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
"173 pcs Deluxe Art Set, Aluminum Painting Box Artist's Set, with Oil Pastels, Colored Pencil, Acrylic, Watercolor Paints, for Sketching, Oil，Watercolor.Christmas/Birthday Gift for Kids Artists (Pink)",$35,4.7,50,https://m.media-amazon.com/images/I/71e738DbLAL._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A0843127265X3FE691LJ3&url=%2FAluminum-Painting-Watercolor-Sketching-Oil%25EF%25BC%258CWatercolor-Christmas%2Fdp%2FB096WV3XPF%2Fref%3Dsr_1_30_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-30-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
"Deluxe Art Supplies 27 Pieces Art Set with Tabletop Easel, 12 Colors Acrylic Paint, 10 Paint Brushes, 3 Canvas Panels, Palettes",$38,4.6,"1,390",https://m.media-amazon.com/images/I/81L5-HatfnS._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A06960233C5QCKOJS19G&url=%2FSupplies-Tabletop-Acrylic-Brushes-Palettes%2Fdp%2FB08YDT2CPJ%2Fref%3Dsr_1_31_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-31-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
"Arteza Watercolor Pencils Set of 48, Presharpened, Triangular-Shaped Colored Pencils for Adults and Teens, Art Supplies for Drawing, Sketching, and Painting",$20,4.7,"4,168",https://m.media-amazon.com/images/I/71FHbXqnoUL._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A10265862HH4WQ24ZV6WX&url=%2FWatercolor-Pencils-Soft-Core-Triangular-shaped-Pre-sharpened%2Fdp%2FB07CH48QQV%2Fref%3Dsr_1_32_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-32-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
"A4 Silver LED Trace Light Pad NXENTC Light Table USB Power LED Tracing Light Board for Artists,Drawing, Sketching, Animation",$19,4.5,"8,867",https://m.media-amazon.com/images/I/513DPnnjjCL._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_arts-crafts-intl-ship_sr_pg1_1?ie=UTF8&adId=A0115528Q0EOC78WENIO&url=%2FNXENTC-Tracing-Artists-Sketching-Animation%2Fdp%2FB07DYP468V%2Fref%3Dsr_1_33_sspa%3Fqid%3D1651611676%26s%3Darts-crafts-intl-ship%26sr%3D1-33-spons%26psc%3D1&qualifier=1651611676&id=8925386161813591&widgetName=sp_btf_browse
